title, year, own, will_play, played
Hades,2020,0,1,0
Yakuza 0,2017,0,1,0
Kentucky Route Zero,2013,0,1,0
Persona 4: Golden,2012,0,1,0
Cuphead,2017,0,1,0
Ghost of Tsushima,2020,0,1,0
Valorant,2020,0,1,0
Disco Elysium,2019,0,1,0
Monster Hunter: World,2018,0,1,0
Slay the Spire,2017,0,1,0
Fire Emblem: Three Houses,2019,0,1,0
Baba Is You,2019,0,1,0
The Outer Worlds,2019,0,1,0
Guacamelee! 2,2018,0,1,0
Control,2019,1,1,0
Outer Wilds,2019,0,1,0
Shovel Knight,2015,0,1,0
Life is Strange 2,2018,0,1,0
Borderlands 3,2019,0,1,0
GRIS,2018,0,1,0
Final Fantasy VII Remake,2020,0,1,0
Star Wars Jedi: Fallen Order,2019,0,1,0
Pokemon Sword/Shield,2019,0,1,0
Pokemon Sun/Moon,2016,0,1,0
Pokemon X/Y,2013,0,1,0
Pokemon Black/White,2011,0,1,0
Pokemon SoulSilver/HeartGold,2010,0,1,0
Pokemon Platinum,2009,0,1,0
Pokemon Diamond/Pearl,2007,0,1,0
Celeste,2018,0,1,0
Undertale,2015,0,1,0
Inside,2016,0,1,0
Dead Cells,2017,0,1,0
Hollow Knight,2017,1,1,0
Hyper Light Drifter,2016,0,1,0
Ori and the Blind Forest,2015,0,1,0
Ori and the Will of the Wisps,2020,0,1,0
Marvel's Spider-Man,2018,0,1,0
Transistor,2014,0,1,0
Night in the Woods,2017,0,1,0
Prey,2017,0,1,0
Shadow of the Tomb Raider,2018,1,1,0
Rise of the Tomb Raider,2015,1,1,0
Enter the Gungeon,2016,0,1,0
Pyre,2017,0,1,0
Dishonored 2,2016,0,1,0
Dark Souls III,2016,0,1,0
Dark Souls II: Scholar of the First Sin,2015,0,1,0
Oxenfree,2016,0,1,0
A Hat in Time,2017,0,1,0
Firewatch,2016,0,1,0
Metal Gear Solid V: The Phantom Pain,2015,0,1,0
Journey,2012,0,1,0
Castle Crashers Remastered,2015,0,1,0
Deus Ex: Human Revolution - Director's Cut,2013,0,1,0
Sleeping Dogs,2012,0,1,0
League of Legends,2009,0,1,0
Metal Gear Solid 4: Guns of the Patriots,2008,0,1,0
Deus Ex,2000,0,1,0
Ghost Runner,2020,0,0,0
Sayonara Wild Hearts,2019,0,0,0
Darkest Dungeon,2016,0,0,0
Child of Light,2014,0,0,0
Owlboy,2016,0,0,0
Octopath Traveler,2018,0,0,0
ABZU,2016,0,0,0
The Legend of Zelda: Breath of the Wild,2017,0,0,0
The Legend of Zelda: The Wind Waker HD,2013,0,0,0
The Legend of Zelda: Twilight Princess,2006,0,0,0
Gorogoa,2017,0,0,0
Stardew Valley,2016,0,0,0
Crypt of the NecroDancer,2015,0,0,0
Ratchet & Clank,2016,0,0,0
The Last Guardian,2016,0,0,0
Grand Theft Auto 5,2013,0,0,0
Middle-earth: Shadow of Mordor,2014,0,0,0
Rogue Legacy,2013,0,0,0
South Park: The Stick of Truth,2014,0,0,0
Battleblock Theater,2014,0,0,0
This War of Mine,2014,0,0,0
Assassin's Creed IV: Black Flag,2013,0,0,0
Dust: An Elysian Tail,2013,0,0,0
Terraria,2011,0,0,0
Monaco: What's Yours Is Mine,2013,0,0,0
Thomas Was Alone,2012,0,0,0
Don't Starve,2013,0,0,0
Xenoblade Chronicles,2012,0,0,0
Mark of the Ninja,2012,0,0,0
Far Cry 3,2012,0,0,0
The Witcher 2: Assassins of Kings,2011,0,0,0
Alan Wake,2012,0,0,0
Dead Space 2,2011,0,0,0
Dead Space,2008,0,0,0
Bulletstorm,2011,0,0,0
The Binding of Isaac,2011,0,0,0
To the Moon,2011,0,0,0
RAGE,2011,0,0,0
Super Mario Galaxy 2,2010,0,0,0
Super Mario Galaxy,2007,0,0,0
Mass Effect 2,2010,0,0,0
Mass Effect,2008,0,0,0
The Sly Collection,2010,0,0,0
Assassin's Creed II,2009,0,0,0
Assassin's Creed,2007,0,0,0
Machinarium,2009,0,0,0
Grand Theft Auto IV,2008,0,0,0
The World of Goo,2008,0,0,0
Fallout 3,2008,0,0,0
The World Ends with You,2008,0,0,0
Burnout Paradise,2008,0,0,0
Bully: Scholarship Edition,2008,0,0,0
The Elder Scrolls IV: Oblivion,2006,0,0,0
Super Paper Mario,2007,0,0,0
The Legend of Zelda: The Wind Waker,2003,0,0,0
Super Mario Sunshine,2002,0,0,0
Paper Mario,2001,0,0,0
Golden Sun,2001,0,0,0
The Legend of Zelda: Majora's Mask,2000,0,0,0
The Legend of Zelda: Ocarina of Time,1998,0,0,0
Super Mario 64,1996,0,0,0
Shadow of the Colossus,2018,1,1,0
Bastion,2011,1,1,0
Okami HD,2012,1,1,0
The Witcher 3: Wild Hunt - Complete Edition,2015,1,1,0
XCOM 2,2016,1,1,0
The Witness,2016,1,1,0
Deus Ex: Mankind Divided,2016,1,1,0
Bioshock: The Collection,2016,1,1,0
Hitman,2016,1,1,0
Bloodborne,2015,1,1,0
SOMA,2015,1,1,0
God of War III Remastered,2015,1,1,0
Trials Fusion,2014,1,1,0
Antichamber,2013,1,1,0
Batman: Arkham Asylum,2009,1,1,0
Shadow Complex,2009,1,1,0
BioShock: The Collection,2016,1,1,0
The Orange Box,2007,1,1,0
Half-Life 2: Episode 2,2007,1,1,0
Uncharted 4: A Thief's End,2016,1,0,1
Rocket League,2016,1,0,1
Call of Duty: Modern Warfare Remastered,2016,1,0,1
Overcooked!,2016,1,0,1
Uncharted: The Nathan Drake Collection,2015,1,0,1
Uncharted 2: Among Thieves,2009,1,0,1
Uncharted: Drake's Fortune,2007,1,0,1
Life is Strange,2015,1,0,1
Call of Duty: Black Ops III,2015,1,0,1
Borderlands: The Handsome Collection,2015,1,0,1
Borderlands,2009,1,0,1
Borderlands: 2,2012,1,0,1
Dishonored,2012,1,0,1
Until Dawn,2015,1,0,1
The Last of Us Remastered,2014,1,0,1
Fez,2013,1,0,1
Guacamelee! Super Turbo Championship Edition,2014,1,0,1
Tomb Raider,2013,1,0,1
The Stanley Parable,2013,1,0,1
Hotline Miami,2013,1,0,1
LEGO Marvel Super Heroes,2013,1,0,1
LEGO Batman: The Videogame,2008,1,0,1
LEGO Indiana Jones: The Original Adventures,2008,1,0,1
LEGO Star Wars: The Complete Saga,2007,1,0,1
LEGO Star Wars II: The Original Trilogy,2006,1,0,1
LEGO Star Wars,2005,1,0,1
Far Cry 3: Blood Dragon,2013,1,0,1
Injustice: Gods Among Us,2013,1,0,1
Edge,2008,1,0,1
Dark Souls,2011,1,0,1
NBA 2K13,2012,1,0,1
Halo 4,2012,1,0,1
Halo 3: ODST,2009,1,0,1
Halo 3,2007,1,0,1
Halo 2,2004,1,0,1
Halo: Combat Evolved,2001,1,0,1
Max Payne 3,2012,1,0,1
FIFA Soccer 13,2012,1,0,1
Assassin's Creed III,2012,1,0,1
Batman: Arkham City,2011,1,0,1
The Elder Scrolls V: Skyrim,2011,1,0,1
Portal 2,2011,1,0,1
Minecraft,2011,1,0,1
LIMBO,2011,1,0,1
Call of Duty: Modern Warfare 3,2011,1,0,1
Call of Duty: Modern Warfare 2,2009,1,0,1
NBA Jam: On Fire Edition,2011,1,0,1
Fallout: New Vegas,2010,1,0,1
Halo: Combat Evolved Anniversary,2011,1,0,1
Red Dead Redemption,2010,1,0,1
Halo: Reach,2010,1,0,1
Super Meat Boy,2010,1,0,1
NBA 2K11,2010,1,0,1
Call of Duty: Black Ops,2010,1,0,1
Borderlands,2010,1,0,1
Just Cause 2,2010,1,0,1
Left 4 Dead 2,2009,1,0,1
Left 4 Dead,2008,1,0,1
Mirror's Edge,2009,1,0,1
Wii Sports Resort,2009,1,0,1
Portal: Still Alive,2008,1,0,1
Persona 3: FES,2008,1,0,1
Marvel: Ultimate Alliance,2006,1,0,1
Psychonauts,2005,1,0,1
Mario Tennis: Power Tour,2005,1,0,1
Pokemon FireRed/LeafGreen,2004,1,0,1
Pokemon Emerald,2004,1,0,1
JSRF: Jet Set Radio Future,2002,1,0,1
Sega GT 2002,2002,1,0,1
Shrek 2,2004,1,0,1
Bionicle: Maze of Shadows,2005,1,0,1
